name,url,letter
branched-chain amino acids (bcaa),https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1005/branched-chain-amino-acids-bcaa,b
breadfruit,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1471/breadfruit,b
brewer's yeast,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-715/brewers-yeast,b
brickellia,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1145/brickellia,b
bridelia,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1497/bridelia,b
broccoli,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1151/broccoli,b
broccoli sprout,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1459/broccoli-sprout,b
bromelain,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-895/bromelain,b
brown rice,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1148/brown-rice,b
brussels sprout,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1477/brussels-sprout,b
bryonia,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-46/bryonia,b
buchu,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-180/buchu,b
buck's-horn plantain,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1457/bucks-horn-plantain,b
buckhorn plantain,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-736/buckhorn-plantain,b
buckwheat,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-15/buckwheat,b
bugle,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-179/bugle,b
bugleweed,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-147/bugleweed,b
bulbine natalensis,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1618/bulbine-natalensis,b
bulbous buttercup,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-586/bulbous-buttercup,b
bupleurum,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-650/bupleurum,b
burdock,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-111/burdock,b
burning bush,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-599/burning-bush,b
burr marigold,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-20/burr-marigold,b
butcher's broom,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-320/butchers-broom,b
butea superba,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1227/butea-superba,b
butterbur,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-649/butterbur,b
buttercup,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-656/buttercup,b
butternut,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-739/butternut,b
butylated hydroxytoluene (bht),https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1071/butylated-hydroxytoluene-bht,b
cabbage,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-171/cabbage,c
cade,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-77/cade,c
caffeic acid,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1266/caffeic-acid,c
caffeine,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-979/caffeine,c
cajeput oil,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-457/cajeput-oil,c
calabar bean,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-50/calabar-bean,c
calabash chalk,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1640/calabash-chalk,c
calamint,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-613/calamint,c
calamus,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-778/calamus,c
calanus oil,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1544/calanus-oil,c
calcium,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-781/calcium,c
calcium d-glucarate,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-136/calcium-d-glucarate,c
calea zacatechichi,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1270/calea-zacatechichi,c
calendula,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-235/calendula,c
california poppy,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-104/california-poppy,c
calotropis,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-797/calotropis,c
calumba,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-410/calumba,c
camphor,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-709/camphor,c
camu camu,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1243/camu-camu,c
canada balsam,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-456/canada-balsam,c
canadian fleabane,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-242/canadian-fleabane,c
canadian hemp,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-201/canadian-hemp,c
canaigre,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-222/canaigre,c
cananga oil,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-83/cananga-oil,c
candlenut,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-353/candlenut,c
cannabichromene (cbc),https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1609/cannabichromene-cbc,c
cannabidiol (cbd),https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1439/cannabidiol-cbd,c
cannabidivarin (cbdv),https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1601/cannabidivarin-cbdv,c
